OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
112|2.221126,-60.399440,79.397233|2.220567,-60.405289,79.497061,39.331072,39.435038,0.223989|2.220567,-60.405283,79.497062,39.331076,39.435043,0.221510
113|2.241136,-62.497317,78.830384|2.240565,-62.503102,78.930217,38.071867,37.854217,0.224181|2.240565,-62.503135,78.930215,38.071845,37.854191,0.221590
114|2.261146,-64.596925,78.211644|2.260563,-64.602644,78.311481,36.811661,36.298292,0.224370|2.260564,-64.602718,78.311477,36.811612,36.298235,0.221668
115|2.281156,-66.696600,77.540207|2.280562,-66.702251,77.640048,35.551454,34.767889,0.224558|2.280563,-66.702367,77.640041,35.551376,34.767799,0.221744
116|2.301167,-68.794604,76.815309|2.300561,-68.800186,76.915153,34.292292,33.263621,0.224743|2.300563,-68.800346,76.915144,34.292182,33.263499,0.221817
117|2.321177,-70.889133,76.036233|2.320561,-70.894643,76.136081,33.035257,31.786096,0.224927|2.320563,-70.894848,76.136069,33.035115,31.785939,0.221888
118|2.341187,-72.978309,75.202313|2.340561,-72.983746,75.302165,31.781479,30.335905,0.225108|2.340563,-72.983999,75.302151,31.781302,30.335714,0.221957
119|2.361197,-75.060192,74.312941|2.360561,-75.065552,74.412797,30.532123,28.913632,0.225287|2.360563,-75.065855,74.412780,30.531908,28.913405,0.222024
120|2.381207,-77.132770,73.367568|2.380562,-77.138052,73.467428,29.288397,27.519848,0.225463|2.380565,-77.138406,73.467409,29.288143,27.519584,0.222088
121|2.401217,-79.193970,72.365710|2.400563,-79.199172,72.465575,28.051547,26.155113,0.225638|2.400566,-79.199579,72.465553,28.051252,26.154811,0.222150
122|2.421227,-81.241654,71.306956|2.420565,-81.246775,71.406824,26.822857,24.819976,0.225809|2.420568,-81.247237,71.406800,26.822517,24.819634,0.222211
