OneBody4_E-0.05_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [90.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
129|2.561298,-75.267125,49.344299|2.560859,-75.267938,49.392103,14.732062,16.368957,0.158114|2.560862,-75.267900,49.391751,14.732100,16.369000,0.158114
130|2.581309,-76.239378,47.828415|2.580864,-76.240170,47.876207,13.759830,15.288701,0.158114|2.580867,-76.240129,47.875851,13.759871,15.288745,0.158114
131|2.601319,-77.181105,46.293381|2.600868,-77.181875,46.341161,12.818125,14.242361,0.158114|2.600871,-77.181832,46.340803,12.818168,14.242408,0.158114
132|2.621329,-78.091929,44.739811|2.620873,-78.092677,44.787579,11.907323,13.230359,0.158114|2.620876,-78.092632,44.787219,11.907368,13.230408,0.158114
133|2.641339,-78.971485,43.168328|2.640877,-78.972211,43.216085,11.027789,12.253098,0.158114|2.640881,-78.972165,43.215722,11.027835,12.253150,0.158114
134|2.661349,-79.819422,41.579560|2.660882,-79.820126,41.627307,10.179874,11.310971,0.158114|2.660886,-79.820077,41.626942,10.179923,11.311025,0.158114
135|2.681359,-80.635400,39.974144|2.680888,-80.636081,40.021881,9.363919,10.404354,0.158114|2.680891,-80.636031,40.021513,9.363969,10.404410,0.158114
136|2.701369,-81.419092,38.352723|2.700893,-81.419751,38.400450,8.580249,9.533610,0.158114|2.700896,-81.419698,38.400080,8.580302,9.533669,0.158114
137|2.721380,-82.170185,36.715946|2.720899,-82.170820,36.763663,7.829180,8.699089,0.158114|2.720902,-82.170765,36.763292,7.829235,8.699150,0.158114
138|2.741390,-82.888377,35.064468|2.740904,-82.888989,35.112176,7.111011,7.901123,0.158114|2.740908,-82.888932,35.111803,7.111068,7.901187,0.158114
139|2.761400,-83.573381,33.398951|2.760910,-83.573970,33.446650,6.426030,7.140033,0.158114|2.760914,-83.573910,33.446274,6.426090,7.140100,0.158114
140|2.781410,-84.224924,31.720061|2.780916,-84.225489,31.767752,5.774511,6.416124,0.158114|2.780920,-84.225427,31.767374,5.774573,6.416193,0.158114
141|2.801420,-84.842743,30.028470|2.800923,-84.843284,30.076153,5.156716,5.729684,0.158114|2.800927,-84.843220,30.075774,5.156780,5.729756,0.158114
142|2.821430,-85.426591,28.324856|2.820929,-85.427109,28.372532,4.572891,5.080990,0.158114|2.820933,-85.427042,28.372151,4.572958,5.081064,0.158114
143|2.841440,-85.976236,26.609901|2.840936,-85.976730,26.657570,4.023270,4.470300,0.158114|2.840940,-85.976660,26.657188,4.023340,4.470378,0.158114
144|2.861451,-86.491456,24.884292|2.860943,-86.491926,24.931955,3.508074,3.897860,0.158114|2.860947,-86.491854,24.931571,3.508146,3.897940,0.158114
145|2.881461,-86.972046,23.148719|2.880950,-86.972491,23.196376,3.027509,3.363899,0.158114|2.880954,-86.972417,23.195990,3.027583,3.363981,0.158114
146|2.901471,-87.417813,21.403878|2.900958,-87.418234,21.451529,2.581766,2.868629,0.158114|2.900962,-87.418157,21.451142,2.581843,2.868715,0.158114
147|2.921481,-87.828578,19.650467|2.920965,-87.828974,19.698112,2.171026,2.412251,0.158114|2.920969,-87.828895,19.697725,2.171105,2.412339,0.158114
148|2.941491,-88.204178,17.889188|2.940973,-88.204549,17.936829,1.795451,1.994945,0.158114|2.940977,-88.204467,17.936440,1.795533,1.995036,0.158114
149|2.961501,-88.544461,16.120746|2.960981,-88.544808,16.168382,1.455192,1.616880,0.158114|2.960985,-88.544723,16.167992,1.455277,1.616974,0.158114
150|2.981511,-88.849292,14.345849|2.980990,-88.849613,14.393482,1.150387,1.278207,0.158114|2.980994,-88.849527,14.393091,1.150473,1.278304,0.158114
151|3.001522,-89.118548,12.565209|3.000998,-89.118845,12.612838,0.881155,0.979062,0.158114|3.001002,-89.118755,12.612447,0.881245,0.979161,0.158114
152|3.021532,-89.352121,10.779537|3.021007,-89.352393,10.827164,0.647607,0.719563,0.158114|3.021011,-89.352301,10.826772,0.647699,0.719665,0.158114
153|3.041542,-89.549919,8.989550|3.041016,-89.550166,9.037174,0.449834,0.499816,0.158114|3.041020,-89.550072,9.036781,0.449928,0.499921,0.158114
154|3.061552,-89.711862,7.195963|3.061025,-89.712084,7.243585,0.287916,0.319907,0.158114|3.061029,-89.711987,7.243191,0.288013,0.320015,0.158114
155|3.081562,-89.837884,5.399495|3.081034,-89.838081,5.447115,0.161919,0.179910,0.158114|3.081039,-89.837981,5.446721,0.162019,0.180021,0.158114
156|3.101572,-89.927937,3.600865|3.101044,-89.928108,3.648484,0.071892,0.079880,0.158114|3.101048,-89.928006,3.648090,0.071994,0.079993,0.158114
157|3.121583,-89.981982,1.800793|3.121054,-89.982129,1.848412,0.017871,0.019857,0.158114|3.121058,-89.982024,1.848017,0.017976,0.019973,0.158114
158|3.141593,-90.000000,0.000000|3.141064,-90.000121,0.047618,0.000121,0.000135,0.158114|3.141068,-90.000014,0.047224,0.000014,0.000015,0.158114
159|3.161603,-89.981982,-1.800793|3.161074,-89.982078,-1.753174,0.017922,0.019913,0.158114|3.161078,-89.981968,-1.753568,0.018032,0.020035,0.158114
160|3.181613,-89.927937,-3.600865|3.181084,-89.928007,-3.553245,0.071993,0.079992,0.158114|3.181089,-89.927895,-3.553639,0.072105,0.080117,0.158114
161|3.201623,-89.837884,-5.399495|3.201095,-89.837930,-5.351874,0.162070,0.180078,0.158114|3.201099,-89.837815,-5.352268,0.162185,0.180206,0.158114
162|3.221633,-89.711862,-7.195963|3.221106,-89.711882,-7.148341,0.288118,0.320131,0.158114|3.221110,-89.711765,-7.148734,0.288235,0.320262,0.158114
163|3.241643,-89.549919,-8.989550|3.241117,-89.549914,-8.941925,0.450086,0.500095,0.158114|3.241121,-89.549794,-8.942318,0.450206,0.500229,0.158114
164|3.261654,-89.352121,-10.779537|3.261128,-89.352092,-10.731911,0.647908,0.719898,0.158114|3.261133,-89.351969,-10.732303,0.648031,0.720035,0.158114
165|3.281664,-89.118548,-12.565209|3.281140,-89.118493,-12.517579,0.881507,0.979452,0.158114|3.281144,-89.118368,-12.517971,0.881632,0.979591,0.158114
